timestamp_utc,iteration,condition,ok,elapsed_ms,cpu_percent,mem_used,mem_limit,mem_percent,shared_hit,result_hash,result_preview,stderr_preview
2026-05-17T11:36:35.617547+00:00,1,live,1,435.53,0.00,51.82MiB,7.606GiB,0.67,,83a8dd7058f82c714d9cb153e02f75c28ce23909f53eec8aaf5140de4ad60ca4,             2238 |            1915 |             1082 |              605 |         935 |                185 |      186 |      185 |          1 |               ,
2026-05-17T11:37:05.165745+00:00,2,live,1,467.82,0.02,51.62MiB,7.606GiB,0.66,,418927a0a9aaf67c8122de4ff8fadd117626f5a3bc6aa532d778212342625572,             2239 |            1916 |             1083 |              607 |         934 |                186 |      186 |      186 |          0 |               ,
2026-05-17T11:37:34.600567+00:00,3,live,1,407.46,0.03,51.83MiB,7.606GiB,0.67,,b8f2cf1866cac7924313160b39c007bee5dccb2df36036784e47b08325dc5506,             2244 |            1921 |             1088 |              609 |         937 |                186 |      186 |      186 |          0 |               ,
2026-05-17T11:38:03.912658+00:00,4,live,1,412.61,0.03,51.84MiB,7.606GiB,0.67,,db2fdee7872c2b2026268e3443a279d9a79fa118af9c5750ae9bcc4e127689e7,             2249 |            1926 |             1093 |              611 |         940 |                186 |      186 |      186 |          0 |               ,
2026-05-17T11:38:33.214418+00:00,5,live,1,491.79,0.00,52.12MiB,7.606GiB,0.67,,5fd4e41ea2bc7cc9550ccec181971b165050dc5cfc3d0d2862ce164ed6fb2bac,             2254 |            1931 |             1098 |              613 |         943 |                186 |      186 |      186 |          0 |               ,
2026-05-17T11:54:04.952930+00:00,6,live,1,421.74,0.29,51.98MiB,7.606GiB,0.67,,07530f95832e9d3e8d6f8dc3ec7e56fc0f613e43eacf413001805a51f6a3aa12,             2259 |            1936 |             1103 |              615 |         946 |                185 |      186 |      185 |          1 |               ,
2026-05-17T11:54:34.332880+00:00,7,live,1,478.87,0.03,49.62MiB,7.606GiB,0.64,,2c68c9c3e426d15a2715896ec976285fef8eeb94e1a0b9d981906ece538347b5,             2260 |            1937 |             1104 |              617 |         945 |                185 |      186 |      185 |          1 |               ,
2026-05-17T11:55:03.749366+00:00,8,live,1,419.61,2.56,50.27MiB,7.606GiB,0.65,,8f9071a298fce0af4cf885439a8a0ce3bde1089461751ff2e67d95951202852b,             2261 |            1938 |             1105 |              619 |         944 |                186 |      186 |      186 |          0 |               ,
2026-05-17T11:55:33.072642+00:00,9,live,1,409.87,0.03,50.67MiB,7.606GiB,0.65,,817639f2dcdff62cfd0a87ff88a3f13ebc62d7800962936995f15678d0c73339,             2266 |            1943 |             1110 |              621 |         947 |                186 |      186 |      186 |          0 |               ,
2026-05-17T11:56:02.389862+00:00,10,live,1,403.81,0.03,50.83MiB,7.606GiB,0.65,10637,cccfa289b23f9e9c799a7a394c7ea4c79477f4812d782a006fe413477ba2efee,             2271 |            1948 |             1115 |              623 |         950 |                186 |      186 |      186 |          0 |               ,
2026-05-17T11:56:32.547380+00:00,11,live,1,405.27,0.03,50.85MiB,7.606GiB,0.65,,f2d20b81ee3e5e2e48c2cc44233523d2b15743403611aba44673a7dcf7c4f3d8,             2276 |            1953 |             1120 |              625 |         953 |                186 |      186 |      186 |          0 |               ,
2026-05-17T11:57:01.852804+00:00,12,live,1,417.85,0.02,51.02MiB,7.606GiB,0.66,,abea2ddb3fab3ea17dc83bf6beb808019ef1cef3a196af9ebf1dda20a8d13225,             2281 |            1958 |             1125 |              627 |         956 |                186 |      186 |      186 |          0 |               ,
2026-05-17T11:57:31.250393+00:00,13,live,1,387.68,0.04,50.9MiB,7.606GiB,0.65,,9189341b84ed8e5fe6fa04fc6a2f7be764ebbea8fffc79589ac0f406151ea564,             2286 |            1963 |             1130 |              629 |         959 |                186 |      186 |      186 |          0 |               ,
