timestamp_utc,mem_used,mem_limit,mem_percent
2026-05-17T11:36:38.024861+00:00,51.77MiB,7.606GiB,0.66
2026-05-17T11:36:42.021792+00:00,51.77MiB,7.606GiB,0.66
2026-05-17T11:36:46.052419+00:00,51.77MiB,7.606GiB,0.66
2026-05-17T11:36:50.106979+00:00,51.79MiB,7.606GiB,0.67
2026-05-17T11:37:07.442539+00:00,51.79MiB,7.606GiB,0.67
2026-05-17T11:37:11.441608+00:00,51.79MiB,7.606GiB,0.67
2026-05-17T11:37:15.457679+00:00,51.79MiB,7.606GiB,0.67
2026-05-17T11:37:19.490554+00:00,51.81MiB,7.606GiB,0.67
2026-05-17T11:37:36.822212+00:00,51.63MiB,7.606GiB,0.66
2026-05-17T11:37:40.843881+00:00,51.81MiB,7.606GiB,0.67
2026-05-17T11:37:44.863946+00:00,51.82MiB,7.606GiB,0.67
2026-05-17T11:37:48.878575+00:00,51.83MiB,7.606GiB,0.67
2026-05-17T11:38:06.097266+00:00,51.83MiB,7.606GiB,0.67
2026-05-17T11:38:10.114042+00:00,51.83MiB,7.606GiB,0.67
2026-05-17T11:38:14.150793+00:00,51.83MiB,7.606GiB,0.67
2026-05-17T11:38:18.153391+00:00,51.84MiB,7.606GiB,0.67
2026-05-17T11:38:35.453196+00:00,51.66MiB,7.606GiB,0.66
2026-05-17T11:38:39.456341+00:00,51.85MiB,7.606GiB,0.67
2026-05-17T11:38:43.475897+00:00,51.85MiB,7.606GiB,0.67
2026-05-17T11:38:47.493980+00:00,51.87MiB,7.606GiB,0.67
2026-05-17T11:54:07.227770+00:00,51.87MiB,7.606GiB,0.67
2026-05-17T11:54:11.225854+00:00,51.87MiB,7.606GiB,0.67
2026-05-17T11:54:15.246259+00:00,52.12MiB,7.606GiB,0.67
2026-05-17T11:54:19.255990+00:00,51.9MiB,7.606GiB,0.67
2026-05-17T11:54:36.536472+00:00,41.51MiB,7.606GiB,0.53
2026-05-17T11:54:40.561110+00:00,41.53MiB,7.606GiB,0.53
2026-05-17T11:54:44.580590+00:00,44.79MiB,7.606GiB,0.58
2026-05-17T11:54:48.625051+00:00,45.29MiB,7.606GiB,0.58
2026-05-17T11:55:05.966735+00:00,49.92MiB,7.606GiB,0.64
2026-05-17T11:55:10.005990+00:00,49.92MiB,7.606GiB,0.64
2026-05-17T11:55:14.019534+00:00,49.92MiB,7.606GiB,0.64
2026-05-17T11:55:18.029452+00:00,50.33MiB,7.606GiB,0.65
2026-05-17T11:55:35.273405+00:00,50.42MiB,7.606GiB,0.65
2026-05-17T11:55:39.307401+00:00,50.6MiB,7.606GiB,0.65
2026-05-17T11:55:43.323972+00:00,50.6MiB,7.606GiB,0.65
2026-05-17T11:55:47.360912+00:00,50.64MiB,7.606GiB,0.65
2026-05-17T11:56:04.599018+00:00,50.68MiB,7.606GiB,0.65
2026-05-17T11:56:08.614240+00:00,50.68MiB,7.606GiB,0.65
2026-05-17T11:56:12.628100+00:00,50.68MiB,7.606GiB,0.65
2026-05-17T11:56:16.648939+00:00,50.7MiB,7.606GiB,0.65
2026-05-17T11:56:34.747409+00:00,50.83MiB,7.606GiB,0.65
2026-05-17T11:56:38.777821+00:00,50.84MiB,7.606GiB,0.65
2026-05-17T11:56:42.792872+00:00,50.83MiB,7.606GiB,0.65
2026-05-17T11:56:46.811721+00:00,50.85MiB,7.606GiB,0.65
2026-05-17T11:57:04.166944+00:00,50.86MiB,7.606GiB,0.65
2026-05-17T11:57:08.171436+00:00,50.86MiB,7.606GiB,0.65
2026-05-17T11:57:12.191953+00:00,50.86MiB,7.606GiB,0.65
2026-05-17T11:57:16.205694+00:00,50.87MiB,7.606GiB,0.65
2026-05-17T11:57:33.456034+00:00,50.7MiB,7.606GiB,0.65
2026-05-17T11:57:37.485785+00:00,50.88MiB,7.606GiB,0.65
2026-05-17T11:57:41.513557+00:00,51.13MiB,7.606GiB,0.66
2026-05-17T11:57:45.529843+00:00,50.9MiB,7.606GiB,0.65
2026-05-17T11:58:02.749109+00:00,50.91MiB,7.606GiB,0.65
2026-05-17T11:58:06.755831+00:00,50.92MiB,7.606GiB,0.65
2026-05-17T11:58:10.800152+00:00,50.91MiB,7.606GiB,0.65
2026-05-17T11:58:14.809914+00:00,50.94MiB,7.606GiB,0.65
2026-05-17T11:58:32.107170+00:00,50.77MiB,7.606GiB,0.65
2026-05-17T11:58:36.121454+00:00,50.77MiB,7.606GiB,0.65
2026-05-17T11:58:40.135787+00:00,50.95MiB,7.606GiB,0.65
2026-05-17T11:58:44.163638+00:00,50.96MiB,7.606GiB,0.65
2026-05-17T11:59:01.424949+00:00,50.97MiB,7.606GiB,0.65
2026-05-17T11:59:05.434395+00:00,50.96MiB,7.606GiB,0.65
2026-05-17T11:59:09.455578+00:00,50.97MiB,7.606GiB,0.65
2026-05-17T11:59:13.474783+00:00,51.21MiB,7.606GiB,0.66
2026-05-17T11:59:30.792983+00:00,51.34MiB,7.606GiB,0.66
2026-05-17T11:59:34.806202+00:00,51.19MiB,7.606GiB,0.66
2026-05-17T11:59:38.824405+00:00,51.67MiB,7.606GiB,0.66
2026-05-17T11:59:42.848464+00:00,51.4MiB,7.606GiB,0.66
2026-05-17T12:00:00.118232+00:00,51.4MiB,7.606GiB,0.66
2026-05-17T12:00:04.134078+00:00,51.4MiB,7.606GiB,0.66
2026-05-17T12:00:08.167980+00:00,51.41MiB,7.606GiB,0.66
2026-05-17T12:00:12.185350+00:00,51.42MiB,7.606GiB,0.66
2026-05-17T12:00:29.421240+00:00,51.24MiB,7.606GiB,0.66
2026-05-17T12:00:33.435281+00:00,51.24MiB,7.606GiB,0.66
2026-05-17T12:00:37.455376+00:00,51.43MiB,7.606GiB,0.66
2026-05-17T12:00:41.474859+00:00,51.44MiB,7.606GiB,0.66
2026-05-17T12:00:58.833843+00:00,51.45MiB,7.606GiB,0.66
2026-05-17T12:01:02.846135+00:00,51.45MiB,7.606GiB,0.66
2026-05-17T12:01:06.856534+00:00,51.45MiB,7.606GiB,0.66
2026-05-17T12:01:10.878695+00:00,51.46MiB,7.606GiB,0.66
2026-05-17T12:01:28.935927+00:00,51.29MiB,7.606GiB,0.66
2026-05-17T12:01:32.968406+00:00,51.28MiB,7.606GiB,0.66
2026-05-17T12:01:36.975917+00:00,51.46MiB,7.606GiB,0.66
2026-05-17T12:01:40.987323+00:00,51.48MiB,7.606GiB,0.66
2026-05-17T12:01:58.300506+00:00,51.48MiB,7.606GiB,0.66
2026-05-17T12:02:02.300330+00:00,51.48MiB,7.606GiB,0.66
2026-05-17T12:02:06.327000+00:00,51.48MiB,7.606GiB,0.66
2026-05-17T12:02:10.349999+00:00,51.5MiB,7.606GiB,0.66
2026-05-17T12:02:27.629602+00:00,51.32MiB,7.606GiB,0.66
2026-05-17T12:02:31.643405+00:00,51.32MiB,7.606GiB,0.66
2026-05-17T12:02:35.667089+00:00,51.5MiB,7.606GiB,0.66
2026-05-17T12:02:39.679962+00:00,51.52MiB,7.606GiB,0.66
2026-05-17T12:02:56.956010+00:00,51.52MiB,7.606GiB,0.66
2026-05-17T12:03:00.986806+00:00,51.52MiB,7.606GiB,0.66
2026-05-17T12:03:04.996209+00:00,51.52MiB,7.606GiB,0.66
2026-05-17T12:03:09.012592+00:00,51.54MiB,7.606GiB,0.66
2026-05-17T12:03:26.268513+00:00,51.35MiB,7.606GiB,0.66
2026-05-17T12:03:30.274868+00:00,51.36MiB,7.606GiB,0.66
2026-05-17T12:03:34.289626+00:00,51.36MiB,7.606GiB,0.66
2026-05-17T12:03:38.320495+00:00,51.56MiB,7.606GiB,0.66
2026-05-17T12:03:55.583218+00:00,51.56MiB,7.606GiB,0.66
2026-05-17T12:03:59.588668+00:00,51.56MiB,7.606GiB,0.66
2026-05-17T12:04:03.611321+00:00,51.57MiB,7.606GiB,0.66
2026-05-17T12:04:07.635222+00:00,51.59MiB,7.606GiB,0.66
2026-05-17T12:04:24.936108+00:00,51.74MiB,7.606GiB,0.66
2026-05-17T12:04:28.949423+00:00,51.45MiB,7.606GiB,0.66
2026-05-17T12:04:32.969914+00:00,51.44MiB,7.606GiB,0.66
2026-05-17T12:04:36.980928+00:00,51.63MiB,7.606GiB,0.66
2026-05-17T12:04:54.250067+00:00,51.64MiB,7.606GiB,0.66
2026-05-17T12:04:58.282857+00:00,51.64MiB,7.606GiB,0.66
2026-05-17T12:05:02.296125+00:00,51.64MiB,7.606GiB,0.66
